headline,rating,text,would_recommend
Did not live up to my expectations,3,"I have to say I have mixed reviews about this laptop. I sound system of this product is pretty bad in my opinion. The speakers it comes with are the worst have heard on any top tier gaming laptop I have used. It was all highs. There are no mid or low freqs. When you are playing games where there are multiple layers of sounds going on all at once, the speakers this system has can not handle it and it is just a horrendous, jumbled sounding mess. You cannot differentiate anything. Some sound effects could not even be heard as the low freq range they used could not be produced by the speakers. It sounded to me like they put in a set of tweeters and not speakers that could handle a wider range. Switching to headphones did not help. The issue was the exact opposite where the sound was primarily low s and the sound was muffled and muted. I tried three separate headphones I own and it was the same with all three of them. I had to download a third party program to tune the sound to something that I considered to be acceptable. Unfortunately, no amount of tuning was able to help with the laptops speakers. I spent several hours trying to get it to a point where it was natural sounding but it just sounded shrill, compressed, high-pitched. Overall, I really dislike the sound of the speakers. The speakers in my 10-year old laptop sound numerous times better. The speakers are more natural sounding cover a wider freq range and playing games, watching movies or playing music is quite a pleasant experience. This is not the case with the Asus. I could not enjoy using the Asus with the speakers. I had an ongoing issue with getting the system to release external hard drives and USB drives. I was being told that the drives were being used even though I had nothing open at them time. Some research indicated that this may be Armory Crate or MyAsus accessing the drives in the background. The speakers where really only audible if the system volume and the game volume were at max settings. When I put headphones on I had to go back into the game audio setting and turn all volume settings down to about 15-20% to keep my ears from being blasted. It was quite irritating to have to keep adjusting the volume to account for whether I was using the laptop speakers or headphones. Last thing about the sound. Adjusting the volume from 0-50 seemed pretty normal and linear. Once I got to 50 the volume did not really increase until I got to 90-100. This was for both system volume and adjusting volume with game setting. When launching a game the system would lock up for 5-10 seconds. I would get the windows ""ping"" sound and then the game would launch. The same thing would happen when I exited the game. The game would close and shortly after the system would freeze for 5-10 seconds. I would then hear the windows ""ping"" sound and would be to once again use the computer. The GPU temps stay pretty cool, staying between mid-50 to mid-60 in all the games I played at high settings. The CPU on the other hand always seemed to run higher than I would expect . Most the tie the CPU temp would get into stay in the upper 70s and low 80s. There were times where it got as high as 95. Even in a game like wow where on my 10-year old laptop with the setting set at 5/10 the CPU would stay usually in the 60s. Using the exact same setting on the Asus and capping frames at 60 to match the old laptops max frames, the Asus CPU temps would get in to 80s at times. Framerates were not bad for a laptop, Usually in Diablo 4 at max settings I got 150+, Black Desert online was 100+. WoW all depended on what I was doing. I a major citiy or in a raid I was anywhere from 60-90 fps. Flying in the open world I could get 200+ fps but I did get in the mid-20fps when doing something like an outdoor boss where there could be 30+ others participating at the same time and this is once again with WoW setting at 5/10 of the settings slider. I could have probably gotten higher results in some of these games if I messed around with DLSS and MFG settings. The monitor looked great but coming from my 10-year old laptop with a 1080, 60hz monitor this was to be expected. The keyboard was acceptable to me. I prefer a much more tactile feeling when I press and release a key. This keyboard has a much softer touch than I am used to and is probably something that someone who is into e-sports or competitive gaming would appreciate more. The build quality is what I expect from a gaming laptop. It was sturdy and solid in construction. I do like the easy access bottom. MUCH more convenient than having to remove 12+ screws to add an SSD or change update memory. If my only concern about a gaming laptop was how well the gaming performance on it was than I would have been happy with this laptop. It ran all the game I played on it quite smoothly (with the exception I mentioned above). But when paying a premium price I have to look at other issues like CPU and GPU temps, sound quality, any sort of quirks when using the laptop outside of gaming, etc. At this price I need something that I feel confident is gong to last me for several years and with the short time I have used this laptop and am not sure that I am going to get that.",No
So far so good.,5,Solid device eventhough the process of getting one took a couple months! So far so good. But the lid animation is sorta difficult to turn off and on (when the lid is closed and opened). A full metal body would be even better.,Yes
A mess out of box needs repaste brand new,3,Device came with extremely poor thermal paste/liquid metal application. Was thermal throttling on all E-Cores and several P-Cores. Right out of box brand new. Also to add driver updates have made several games unplayable. Tisk Tisk Asus. Do and be better.,No
The ROG Strix Scar 18 this year is THE powerhouse!,5,"This laptop is my lifeline and savior! I was very fortunate enough to win this laptop through the ROG 50 series laptop giveaway, and I am grateful to all those who engineered this laptop and those who helped to make this giveaway possible! I will come out with a review of the product with as less bias as possible to make a fair review, but for now, 3D Mark and benchmark tests, HERE WE GO!!!!",Yes
Some nice upgrade from last year's model,4,"Good laptop with decent upgrades from last year's model, the toolless access bottom panel and the fact that I can add in new RAM or storage easily and in less than a minute is a huge plus for this laptop for repairability and upgradeability. I have not had any issues in the past week I've used this device, but for some reason my computer does not like having more than one storage unit installed so I have to deal with just one for now. Unfortunately, the main frustration I've had with the whole design change is that the Samsung pro SSDs with the heatsinks don't fit in this device, I've already tried both sides but the heatsink is too big. This wasn't an issue to last year's model, but I am also going to keep in mind if there's any other problems like I've had last year with the previous model like dead pixels or any other manufacturing defects. Overall, this is a nice upgrade from last year's model that had the 4090M and I already upgraded my RAM to 64GB. I would recommend sticking to the 2024 model if more vram or performance isn't needed since it seems like driver issues and unoptimized games are currently the real main problems with low framerates at the moment.",Yes
Hopefully better with some updates,2,"I love the design and feel of the laptop. The screen is fantastic with the mini LEDs. Unfortunately that's where the praise news ends. I'm only a few days into using this laptop and I've already had it freeze solid on me to need a forced reset while playing a game at medium-high settings, and had several bugs. While in standard mode the graphics card can't seem to decide if it should be on the Intel chip or the RTX leading to constant stuttering while it switches between them. I also have a windows update failing to install and the IR camera just straight doesn't work as well as the mic on my headset after updating the drivers. My only hope now that I'm outside of the return policy is that some updates show up soon to fix these issues. I hope not everyone is having these problems. I'll update this review if I can if the problems get fixed.",No
Asus knocked it out of the park!,5,"The Asus Strix G18 is a game-changing laptop that seamlessly blends raw power with exceptional design, delivering a premium experience that’s perfect for both gamers and professionals. With the combination of the Intel Core Ultra 9 275HX CPU and the NVIDIA GeForce RTX 5080 GPU, this machine is nothing short of a powerhouse, ready to take on the most demanding tasks with ease.

From a performance standpoint, the Core Ultra 9 275HX is a beast. Whether you're gaming, streaming, or working with resource-heavy applications like video editing software or 3D rendering programs, the CPU never falters. It powers through multi-core workloads effortlessly, offering an incredibly responsive and smooth experience for virtually anything you throw at it.

The RTX 5080 GPU is where the magic truly happens, pushing the boundaries of what’s possible in portable gaming. The graphics are mind-blowing, with ultra-realistic textures and fluid, lifelike visuals even in the most graphically intensive games. This GPU makes every game feel like a cinematic masterpiece, with buttery smooth frame rates and stunning detail. It’s built for gamers who demand next-gen performance.

But what really sets this laptop apart is its stunning 18-inch display. The screen is absolutely breathtaking—offering crisp, vibrant colors and a deep contrast that makes every image pop. One of the standout features is its lack of backlight bleed, a common issue in many high-performance laptops. Asus has gone above and beyond to ensure that you can enjoy the display at all times, whether you're working on intricate projects or diving into your favorite games, without distractions like uneven lighting or ghosting. It’s one of the best panels you’ll find in any laptop, offering an immersive experience for both work and play.

Thermal management is another key strength of the Strix G18. Thanks to the advanced cooling system, the laptop stays cool even during the most intense gaming sessions or heavy multitasking. The performance never dips, and the system runs quietly, so you can focus on your work or game without interruption.

Design-wise, the Asus Strix G18 looks as sleek and powerful as it performs. The build quality feels robust and premium, while the customizable RGB keyboard adds a touch of personal flair to your setup. Despite its powerhouse internals, the laptop remains surprisingly portable for its size, making it ideal for on-the-go users who still need all that power.

Battery life is also solid, given the powerhouse specs, providing enough longevity for most tasks before needing a recharge.

In conclusion, the Asus Strix G18 with its RTX 5080 GPU, Core Ultra 9 275HX CPU, and exceptional screen is an absolute dream machine for anyone who demands top-tier performance and stunning visuals. Whether you're gaming, creating content, or working with demanding software, this laptop offers everything you could possibly need. It’s a true testament to Asus’ commitment to delivering the best of the best—no compromises, just pure performance and an extraordinary visual experience.",Yes
Great with a caveat.,4,"Overall a great laptop. Great display, RTX 5080 w/16 GB VRAM. 32GB of system RAM. Not wild about the Intel 275HX processor, but it is almost the same performance wise as any AMD offerings.

Pros: Great 240Hz display. Looks as good as my 3440x1440 OLED display for my desktop PC. 
RTX 5080 graphics card will run anything I throw at it (except some older titles, which is a common issue for Nvidia RTX chipsets).
Intel 275HX processor runs good.
Open m.2 slot
Bottom removes without tools. M.2 tool less as well. 
Added a 4TB gen 3 m.2 drive in second slot. Works perfectly. This PCIe 3x4 drive came out of older laptop. 

Cons: Intel 275HX tends to run a little hot. Needs a very cooling pad to keep the temps low. Keeping the temps low help keep from thermal throttling.
Uses a lot of power for a laptop. Power brick is 380 watts. 
IMHO 2TB storage is a bit low for most users now. Especially since a lot of games want 100 GB or more of storage. 
Processor is supposed to be capable of DDR5 6400, but ships with 5600.

Major con (this is the caveat I mentioned in title). Automatically updates BIOS when available. The problem with the update is that the system locks up at ROG boot screen upon rebooting. Eventually it will go on past the logo screen. However it takes some patience since it usually requires shutting power off and leaving the system off for an hour or so. I had this happen twice so far. Both times took it to the Geek Squad desk. First time the tech did something that got it working. The second time it just finally booted to windows on its own. I was literally watching the technician and the screen to see what was happening. She didn’t touch anything except the power on button. 

I’m not unhappy about the purchase, but I wish ASUS would fix their UEFI bios updates. I replaced a 4+ year old Gigabyte Aorus with this unit. The old unit is on left with this G18 on the right. There is a huge difference in size and display quality.",Yes
A really solid performer but with some drawbacks,4,"I started my journey with this laptop a little week ago. Here are my overall thoughts on this “desktop replacement” 
   The unboxing is quite the experience. This “laptop” is a massive beast and you go through a mix of emotions. Heavy and thick and the charging brick reminds you of exactly that, a brick!  You instantly realize this is a unit you won’t be taking to Starbucks for a long writing session but you know this unit is about to blow you socks off when it comes to performance. 
    It’s plastic but feels incredibly solid. Screen easily opens up and you are greeted with its ginormous Keybed and trackpad with not much flair other than some Rog branding that is tasteful. Once you fire it up you are greeted with a lovely intro and the RGB light show roars to life. The underglow would make bin diesel proud. Setup is the standard windows experience and a few hours of updates and restarts are a must before you can dive in. 
   Once you go through all the updates it’s finally time to see what this bad boy can do. I’m a tinkerer and I am a sucker for tuning and running benchmarks. That cinebench 23 score is a sight to see. My 275hx after tuning is scoring 37633 which is just insane for a “laptop”. Gpu benchmarks left my jaw dropped. I watched 3 1/2 year old precious desktop  build get destroyed over and over. 
  This guy is not only shaped like a tank, but it’s an absolute beast under the hood. Gaming is an absolute dream hands down. This laptop PERFORMS! 
    I instantly knew it was time to upgrade my unit with a fresh 4tb nvme. Opening the back of the laptop was insanely easy. Just slide a simply lever and the backside frees right up greeting you with 2 nvme bays (one is occupied) and upgradable ram slots. The nvme I installed took a bit of time because the built in plastic clip that turns to hold the drive down (no screw needed) and I was honestly scared I was going to snap it because it took a lot of force to turn by hand. After working it back and forth it feels like it probably should. Snug and holds the drive perfectly. Call me crazy but a simple tiny screw holding the drive down would have been easier at least on my unit.
   Keyboard and trackpad are excellent. This is no MacBook in build quality, but everything functions as it should and the trackpad is usable enough that I wasn’t instantly searching for my external mouse while navigating windows. 
   Now on to the mid part of this laptop. Its screen has some light bleed in gray scenes but thankfully it’s not viewable in all content. Its colors are vibrant and really solid for an IPS panel. Just know this screen is definitely not going to win any awards. It’s perfect for gaming and accurate enough for content creation, but watching movies is going to be a letdown compared to what most of us have in our living rooms. This is a far cry from an OLED or mini LED but it is “good enough” 
    The speakers are also not going to win any awards. They state it’s a 4 speaker system but the tweeters under the screen (small slits in the laptop hinge) on the front of the laptop don’t do much. You mainly hear the downward firing speakers and they are pretty midrange focused. Some dialing in via the Dolby access app solved some of these issues as I found the 500k and 2-4k ranges were boosted far too much and it caused ear fatigue with pretty much any content. Don’t be expecting much bass below 150hz. Everything is loud enough to hear over the fans when they ramp up, but headphones would definitely be ideal. 
    Battery life is pretty much a joke but I guess it’s usable in a pinch. 3-4 hours doing light work with the GPU disabled. Maybe an hour in a light game with restricted settings.
     Short summary- Yes you are paying for the internals and they perform at a high level! Just be aware that there is some drawbacks to a device like this. Yes, it’s portable in theory, however I don’t see my unit being taken anywhere other than to a buddy’s house for a rare gaming session. This isn’t really travel friendly and the battery life isn’t great and that charging brick needs to be tethered. The screen and speakers and plastic build all work fine and are usable, but you realize these 3 areas are where the cutbacks happened. All in all if you plan to buy this unit, know what you are getting. This isn’t really a laptop. It’s definitely in the desktop replacement class and if you go into this unit understanding that then you will be happy. It’s a beast of a gaming pc and the specs and performance are enough to make your desktop collect dust. 

Final thoughts- wait for a sale if you can. Yes you get a lot for the msrp, but there are enough drawbacks that I don’t feel it’s worth it at full price when the market is saturated with several respectable competitors.",Yes
Great Workstation for Design & Gaming,5,"Overall, from start to finish the set up and use has been incredible.

I’ve been using this laptop for all my work programs and it handles everything without a hitch. Performance is smooth and reliable. Battery life is decent, but I wouldn’t recommend running heavy tasks unless you’re plugged in and using the main GPU.

I tested it with RUST on a 600-player server, max settings, and it stayed at around 100 FPS. Since RUST is a CPU-heavy game, that’s pretty impressive, though your results may vary depending on the game or workload.

The screen is sharp and clean, with no backlight bleed that I’ve noticed. The top metal surface feels really smooth and comfortable for typing. The touchpad is pretty sensitive, but I use an external mouse so it’s not an issue for me.

This is a strong choice for anyone who needs a reliable work laptop that can also handle gaming. I’m confident it’ll stay solid for years to come.",Yes
Good but had defective unit,3,"I purchased this to replace my ""Alienware - Area 51M R2 Laptop - FHD- 300Hz- Intel Core i7 - NVIDIA RTX 2070 SUPER, 32GB RAM"" spec gaming laptop.  Although it has a i7-10700K desktp CPU in it, it requires two power supplies and the main 360Watt is massive.  So I was happy to see not only did this one have one single power supply, but it was smaller than the main power supply of my other laptop.  I saw someone say they thought this power supply was massive but compared to the previous two Alienware laptops, this is a great size for the amount of power it provides.

Setting this up for the first time out of box took about 45 minutes or so to get all the updates.  There were mutiple bios updates from Asus as well.  However those were painless as it was pretty much automatic.  Other systems I'd have to put it on a USB to install it but the bios updates on this machine were as easy as a windows update.

I did a lot of testing with Forza Motorsport, Forza Horizon 5, Ratchet and Clank, and many others.  The LCD panel has amazing color accuracy.  Sure, you don't get the dark blacks like an OLED or mini-LCD, but it is an excellent screen none-the-less.  The ray-tracing worked well.  As a casual gamer, I still haven't found the need for it but is definitly cool to see when you can crank it up and still have smooth performance.

However, that is where the first issue came in.  Although you can run high leel of ray tracing settings, I would get glitches in many games.  I would say maybe once every 5 to 10 mintues my character in Ratchet and Clank for example would turn into a series of vertical lines briefly then return to normal.  In Forza the exact same effect would happen on some trees in the distance.  Not bad enough to return, but definitly not something you'd expect for the cost.  I can have lower settings on the 2070 super notebook without those issues.

The performance was great, the screen was great, and aside from a few glitches, I was happy.  But then I tried to test VR games with a wired link using the thunderbolt ports with the Meta Quest 3.  That's when I found any device I connect would only work in USB 2.0 compatiabilty mode.  Therefore, it was too slow to play any PC VR games.  I tried hooking up my thunderbolt USB-C NAS drive to it, and same thing happened; I could only get about 370mb/sec.  When I went into the BIOS, there is a USB test feature.  With the Quest 3 connected, it showed it supported USB 3.0 but was operating on USB 2.0.  No matter what settings I adjusted in Windows for power, and any USB settings I could find, nothing I connected would operate higher than USB 2.0.  When I went to support, they wanted me to send it in for an RMA.  That shouldn't happen after less than 24 hours with the system. :)  That is the primary reason I returned it.  

The other thing I didn't like, but not a resason to return it, was the RGB keyboard.  There is not really a plain white solution.  It has a blue hue to it which doesn't show up in the photo.  The WASD area and space bar I think they tried to make unique from the other keys but to me just looks odd.  My alienware laptop has a per key RGB and has a clean white if you so choose.  I mostly had the RGB off except for the off-white keyboard to see in the dark but even that, if you reboot or do anything, it lights up like a christmas tree with the rainbow effect which would be nice to keep off if you have them off in the settings all the time.

Overall for the price, I think it's good.  It's about $600 more than the last Alienware laptop I got when it was new.  You can order a custom build to this on  Dell and is still a few hundred dollars more so I think if you're ok with the keyboard RGB limitations and don't have a defective unit, this laptop has a lot of potential.  I think though this may be one of those things where eveyrthing is still new and may be better waiting until a 5080ti type model comes out.",No
My ASUS - ROG Strix G18 is a Photoshop powerhouse,5,"I purchased my ASUS - ROG Strix G18 at Best Buy after reviewing a few laptops as candidates suited for speeding up Photoshop editing of photos and videos.  The ASUS G18 offered unusual technical muscles for that role and the 18 inch screen promised to provide a terrific view on work.  I'm not a gamer, so had hesitated to pay for flashy features I do not use, but the core strengths of this machine have proven it to be the top choice.  I have been impressed, now that I'm putting it to full use, with how it goes beyond expectations.  I feel it is cutting my Photoshop machine wait time in half.",Yes
Great Powerful Laptop,5,"I usually go with the Asus ROG series, because it can handle intense computing tasks.  Yes it's great for graphically demanding games, though I use it for seamless video editing.  Even though I upgrade the local drive and RAM, this machine can handle heavy processing tasks.  Just like any other laptop used for heavy usage, I will advise in getting a proper cooling mat/tray.",Yes
Powerful Gaming Laptop with Minor Bluetooth Issue,4,"The ASUS ROG Strix G18 is an absolute beast — stunning 18” 240Hz display, blazing-fast performance with the RTX 5080, and plenty of storage. Games run smoothly, and overall build quality is excellent. The only downside I noticed is when using Bluetooth: sometimes the screen freezes for 1–2 seconds and the mouse cursor becomes unresponsive. Aside from that, everything works great and I’m very satisfied! ✅",Yes
Asus Power,5,Very nice upgrade from my old laptop!     Love it!,Yes
Gamer excellent,5,"Excellent laptop for design and gamer work, fast and good storage space, practical to transport and use",Yes
"Great specs, and very good performance.",4,"Great specs, and very good performance.

Build / Screen:
While the build is not terrible by any means, it’s mostly plastic with exception of the lid/back of the display). I personally like the way it looks overall, especially that the back looks a bit more like the Asus ROG Zephyrus line of laptops. It has a really cool LED strip all around the bottom, which looks really nice in a dark room, and it can be customized so you can shut it all off. The hinges on the screen are for me the most critical in the build quality and thankfully this seems to be very sturdy. While I am not totally in love with the plastic parts on the laptop, at least it doesn’t pick up fingerprints on it as much as you would think. I don’t notice them much where I touch the body. This is an 18” screen, but keep in mind this is only an 8-bit panel. My unit didn’t have much backlight bleed. It had some, however it was very minimal, as is the case with virtually all LED IPS screens that are not OLED, and it does get pretty bright for me, but I wish the contrast were a lot more given the cost of this machine. Granted, those are also 16” screens and not 18”. I have this laptop generally set up with a large OLED screen for playing games, and it is great on that screen, and you can still push the resolution to 2.5k and not full 4K to save on performance. I do really wish it had at least a micro-LED screen or at least a 10-bit panel for better color display handling for times when I do want to play directly on the laptop display itself. What the display does do very well is provide a great sweet spot for a laptop screen of this size, 2560 x 1600, and a 240hz screen (which comes in very handy as this video card can do “Frame Generation” - more on that later.


Keyboard and trackpad
The keyboard is pretty good, it feels pretty nice to type on, very little flex on the front. However I personally do not care so much for the transparent “ghost” keys on the ‘QWER ASDF’ and space bar. It is very subjective I know, but I truly would have preferred the same key caps like the rest of the keyboard. You also get a full sized keyboard layout, with a num pad! This is great for me, as I use 3D software where this is critical for me and my workflow, with so many shortcuts for different software I use tied to a NUM pad specifically. The RGB lighting can all be controlled inside the Armory Crate software. Armory Crate will also let you customize the light bar that runs all along the bottom of the laptop too, including turning it all off. I really like the trackpad, I don’t think it is glass, but it is pretty big and responsive to left and right clicks.

Upgrading - this is crazy how easy it is.
A new introduction to the world of laptops is how easy it is to access the internals. Just shut the laptop off, close the screen lid and flip it over. You need ZERO tools! There is a latch, and you can then just take the bottom cover off, where you have access to the SSD slots, there are two, and one is already populated. The other will take a standard 2280 SSD. You also have access to the 2 RAM slots where you can pull the two sticks out and upgrade to more than the included 32GB of RAM size. While most other gaming laptops aren’t that hard to upgrade depending on the model, there is always a bit of a risk with disconnecting the battery from the motherboard, and things that can be a little tricky for some people to do. The latch system seems to actually block the battery power once it is removed so you can’t short anything out on the system (the reason you need to disconnect the battery when upgrading other laptops).

Processor - plenty fast - even for content creation
The processor is really great on this machine, it is an Intel Ultra 9 275HX, and chewed through a whole bunch of apps I threw at it. Luckily, what does seem to be a whole lot better with this G18 laptop is power efficiency compared to last generation intel chips. It seems to run faster while draining less power, which is good, as it means you can divert more of that power to the GPU. It is definitely faster than my previous laptop, however it is not leaps and bounds faster.

GPU - RTX 5080 laptop GPU - this laptop can run this GPU up to 175 watts the max amount NVIDIA will let manufacturers go in a laptop.
This is the meat and potatoes for most games, and yes, it runs most games I have tried great. Nvidia finally got most of their driver issues with all the new RTX 5080 series in the last week and half of me writing this, and I had no issues after that last driver update so far. The great thing with having a “larger” sized laptop, is that Asus is able to throw more wattage to both the GPU/CPU because there is more room for cooling in laptops of this size. Of course that comes at the cost of having something that isn’t quite as portable, but I think if you are buying an 18 inch laptop, you mostly are going to have it in one place most of the time. Now here is the thing with this laptop's GPU. While it is really good for a full powered laptop GPU @ 175watts, it isn’t leaps and bounds over my RTX 4080 laptop that also ran at full wattage in 2023. At least that is, not until you turn on some of the new features the RTX 5080 can do that the 4080 could not, and that is frame generation! Yes, it works! On Cyberpunk 2077 with their latest patch and the newest NVIDIA drivers, it definitely looks great, but cranking it up too far, and it introduces a bit too much latency for me. I was a bit on the fence about frame generation, but it really does help, as long as you don’t over-crank settings. You want to at least get your game running at 40-50fps so it has a decent frame rate to begin with so that the DLSS and Frame Generation can have a good source to work from. And the screen is G-Sync compatible, so if your frame rates in games vary up and down you will not get screen tearing, which is a great thing to have on the display.

Speakers
They sound pretty good for a laptop, but if you are gaming, you are going to want to use headphones, as the fans get loud under heavy load. In fact, I am glad those fans kick in that loud, it keeps your system running cool. That is the price you kind of have to pay for having a system with this much wattage and performance, it needs to be cooled off.

Portability
Look, this is a big and fairly heavy laptop. It is 18” and it is pretty heavy, especially if you have to carry the charger with you. However if you don’t need it to carry around everyday, and just need to move it around your home you will be good. I would even be ok with taking it here and there on occasion, just not daily. This is not the kind of laptop you want to have on your back everyday.

Overall
This is a great spec laptop if you need this large of a screen. My only issue with it is that for the asking price I wish it had a better quality display with at least a 10 bit display panel. Luckily it is 240hz and G-Sync compatible. I am only not giving it a full five star rating because of the display. Otherwise, this is a nearly perfect machine, especially if you are coming from any gaming laptop older than 2 years ago, the RTX 30XX based NVIDIA series GPUs, this will be a MAJOR upgrade.",Yes
Great so far,5,"So far I really like the speed and the video capabilities. I am using it music and video editing.
I do wish the keyboard had better lighting.",Yes
Power house but mine came with QC issue,3,"Honestly this is an amazing laptop with amazing specs. Runs everything you throw at it with max settings!! Keyboard felt good, display was good all well rounded. Unfortunately mine came with a design flaw where the wrist rest area was sharp and cutting into my arm. I wish I could’ve kept it but having QC issues like that is unacceptable at this price point.",No
I Gotta Say….,4,"First thing I want to point out, overheating does not happen. When I was using it for video editing and gaming, it only went up to 50-65c. The cooling fans actually help a lot. Second, glitching, coil whine, BIOS update failure, etc. None of that exist in the product. It is actually pretty useful, just using it make me forget the time of days. However the only thing I hope is that if it has an RGB logos at the back monitor, that would be the best design. Doesn’t have to be like Scars.",Yes
